consumption,sun,rainfall,wind
1673310.19,0,0,0.12267181
1638862.016,0,0,0.105147265
1588359.234,0,0,0.09596774
1514415.352,0,0,0.12934782
1471712.33,0,0,0.120168306
1431536.951,0,0,0.105147265
1385895.469,0,0,0.11098878
1406997.834,13.5,0,0.11098878
1441048.044,32,0,0.12600982
1487993.125,60,0,0.11098878
1479956.72,60,0,0.11098878
1519027.661,58.5,0,0.105147265
1539846.634,30,0,0.105147265
1497230.388,30,0,0.11098878
1481338.922,22.5,0,0.15354837
1533013.831,0,0,0.120168306
1692397.942,0,0,0.13518935
1797118.113,0,0,0.120168306
1787388.954,0,0,0.108485274
1737143.522,0,0,0.1176648
1680063.329,0,0,0.11098878
1668392.868,0,0,0.11098878
1642753.945,0,0,0.12267181
1599180.324,0,0,0.1168303
1567333.074,0,0,0.13769284
1532480.305,0,0,0.1176648
1515166.3,0,0,0.12600982
1473612.253,0,0,0.12267181
1490997.573,0,0,0.12267181
1515153.548,0,0,0.09596774
1534285.496,0,0,0.087622724
1620075.74,0,0,0.0809467
1691062.584,8,0,0.087622724
1744240.603,40.5,0,0.12267181
1708925.673,30,0.9015152,0.20111501
1755519.831,29,0.9015152,0.21029453
1759509.665,0,0.9015152,0.17107293
1710728.321,0,0,0.19193548
1694855.505,0,0,0.12267181
1737306.741,0,0,0.056746144
1885077.863,0,0,0.06842917
1959843.21,0,0,0.105147265
1914999.774,0,0,0.09596774
1835471.923,0,0,0.11098878
1768285.528,0,0,0.08345021
1759373.917,0,0,0.123506315
1723287.54,0,0,0.120168306
1667399.937,0,0,0.10264376
1657629.366,0,0,0.17441094
1631765.429,0,0,0.17774893
1610948.454,0,0,0.09680225
1544936.686,0,0,0.09930575
1593920.264,0,0,0.07510519
1709131.783,0,0,0.07176718
1842775.922,0,0,0.065925665
1997611.21,13.5,0,0.07176718
2049684.589,32,0,0.09930575
2085532.441,60,0,0.09680225
2034169.8,60,0,0.105147265
2055493.863,59,0,0.105147265
2028696.663,30,0,0.1168303
2001717.447,30,0,0.108485274
1990521.119,23.5,0,0.14103085
2019223.703,0,0,0.11098878
2119669.024,0,0,0.07260168
2191582.925,0,0,0.09596774
2134523.299,0,0,0.105147265
2040561.95,0,0,0.07176718
1939307.135,0,0,0.086788215
1906228.882,0,0,0.0809467
1864864.625,0,0,0.06258766
1799316.878,0,0,0.08345021
1787951.599,0,0,0.0776087
1752934.359,0,0,0.07510519
1712711.941,0,0,0.060084153
1643627.88,0,0,0.065925665
1655034.982,0,0,0.13185133
1756466.618,0,0,0.105147265
1897772.901,0,0,0.09930575
2064884.472,0,0,0.0809467
2117451.335,5,0,0.050904628
2140530.877,0,0,0.056746144
2098478.403,0,0,0.086788215
2141282.692,0,0,0.13518935
2127632.442,0,0,0.19193548
2112424.252,0,0,0.15021038
2090628.646,0,0,0.09262974
2102177.318,0,0,0.13769284
2165776.622,0,0,0.22531557
2206868.778,0,0.9015152,0.2703787
2135132.443,0,0.9015152,0.25535765
2028186.14,0,2.7045455,0.31877983
1916347.856,0,2.7045455,0.36050493
1873235.546,0,2.7045455,0.34548387
1811783.365,0,2.7045455,0.26787516
1730695.627,0,3.6060607,0.30042076
1731083.316,0,1.8030304,0.3546634
1715350.284,0,2.7045455,0.2762202
1681813.237,0,1.8030304,0.30709675
1621558.602,0,2.7045455,0.31293827
1647507.484,0,0.9015152,0.2703787
1768131.779,0,0.9015152,0.2728822
1914899.011,0,0.9015152,0.2737167
2075550.123,0,1.8030304,0.25535765
2115008.238,0,1.8030304,0.34298033
2147812.266,0,2.7045455,0.24367462
2121285.482,0,2.7045455,0.26119915
2166464.436,0,0,0.28790322
2147506.58,0,1.8030304,0.33380085
2115467.973,0,2.7045455,0.2887377
2069852.111,2.5,1.8030304,0.2703787
2090261.009,0,2.7045455,0.26704067
2174301.656,0,1.8030304,0.2336606
2248205.86,0,0.9015152,0.24617814
2191533.514,0,0,0.22781906
2103572.409,0,0.9015152,0.26119915
2013050.585,0,0,0.18609396
1968342.47,0,0,0.14770688
1945079.95,0,0.9015152,0.17107293
1872031.776,0,0,0.18025246
1864283.82,0,0,0.17441094
1836439.699,0,0,0.12851332
1803878.451,0,0,0.12600982
1743936.335,0,0,0.09012623
1770938.513,0,0,0.060084153
1866763.605,0,0,0.033380084
1989364.941,0,0,0.030042076
2139858.386,10,0,0.030042076
2186223.468,32,0,0.033380084
2213601.012,60,0,0.0809467
2165967.086,60,0,0.09680225
2174123.311,60,0,0.050904628
2147652.179,30.5,0,0.07260168
2101030.908,30,0,0.06676017
2067467.551,10.5,0,0.051739126
2074415.802,0,0,0.06676017
2162600.261,0,0,0.07176718
2264805.043,0,0,0.069263674
2222387.632,0,0,0.07510519
2140753.055,0,0,0.07510519
2054092.133,0,0,0.065925665
2044988.976,0,0,0.07510519
2047072.487,0,0,0.07176718
1966716.457,0,0,0.0817812
1943586.199,0,0,0.069263674
1888260.462,0,0,0.09262974
1857951.166,0,0,0.086788215
1780455.337,0,0,0.09012623
1758794.243,0,0,0.084284715
1743483.3,0,0.9015152,0.065925665
1741673.297,0,0,0.0809467
1833319.225,14,0,0.054242637
1928755.479,31,0,0.07260168
1978981.693,30,0,0.06342216
1943607.703,28,0.9015152,0.06676017
1972269.458,2.5,0,0.045063116
1998102.247,5,0,0.105147265
1970921.474,3.5,0,0.07260168
1951893.017,0,0,0.045063116
1958668.724,0,0,0.048401125
2037147.766,0,0.9015152,0.04756662
2093351.998,0,0,0.04255961
2040000.618,0,0,0.04255961
1975758.32,0,0.9015152,0.07510519
1880896.706,0,0.9015152,0.054242637
1854858.743,0,0.9015152,0.069263674
1847501.235,0,0.9015152,0.056746144
1779022.706,0,1.8030304,0.04756662
1743949.853,0,1.8030304,0.04756662
1706489.297,0,2.7045455,0.04756662
1656257.725,0,2.7045455,0.048401125
1593887.975,0,1.8030304,0.04756662
1578478.968,0,0.9015152,0.06258766
1539690.078,0,0.9015152,0.057580646
1509991.965,0,0.9015152,0.065925665
1558814.837,0,0,0.069263674
1640628.639,0,0,0.108485274
1718084.435,15.5,0,0.120168306
1727066.334,36.5,0,0.16523142
1780633.658,30,0,0.18943198
