total_energyConsumption,medianSun_minutesPerHour
1662763999,0
1620745714,0
1579083006,0
1513071791,0
146021215,0
1453851449,0
1417305878,0
1408382028,0
1425113651,13.5
1478592397,32
1495505134,60
1496398219,60
1547294823,58.5
1498382885,30
1479080871,30
1508280505,22.5
1638492394,0
179577896,0
1785623313,0
1742239772,0
1673127871,0
1630844145,0
1622519368,0
1586023843,0
1571328352,0
1510815571,0
1501440436,0
1468556048,0
1452336224,0
1527006143,0
1548870217,0
1601691892,0
167049751,0
1732027652,8
1749991116,40.5
1727419172,30
1769042679,29
1718139545,0
1689846361,0
1709732058,0
1843941731,0
1959890441,0
1924119319,0
1848038545,0
1763677825,0
1706677781,0
1703204712,0
1638398898,0
1642534807,0
1610925817,0
1585567698,0
1536884971,0
1533565956,0
1680674516,0
1833904041,0
1980811005,0
2048025847,13.5
2080292845,32
2075904935,60
2061896403,60
2025860564,59
200602029,30
1981805912,30
2002983219,23.5
2087259678,0
2196016164,0
2152520924,0
2052555862,0
1933018427,0
185774335,0
1833007164,0
1774021977,0
1768631568,0
1737678289,0
1695759531,0
1640651104,0
1617776141,0
1737531697,0
1877539318,0
2033916209,0
2107051155,0
2150060293,5
213891716,0
2146123573,0
2127497582,0
2115354942,0
2078871119,0
2087554419,0
2151507468,0
2213973846,0
2165941149,0
2046772083,0
1917209038,0
1834215243,0
1798266334,0
1716858107,0
1705966614,0
1675435085,0
1651743625,0
1621392179,0
1605380583,0
1745861978,0
1902064585,0
2046955383,0
2112473261,0
2139699368,0
2167899836,0
2157756611,0
2139255824,0
2124528779,0
2075271521,0
2078566636,2.5
2142536008,0
2251216876,0
2217151617,0
2116925097,0
2009024965,0
1933681662,0
1912287315,0
1852871557,0
1851977368,0
1815098008,0
1783657253,0
1744201983,0
1716020862,0
1848874713,0
1983083148,0
2120383452,0
2179813901,10
2222202386,32
2212847847,60
2172763191,60
2153532899,60
2127492949,30.5
2071999502,30
2057750532,10.5
2121938609,0
2267317619,0
2229861092,0
2159118039,0
2048626796,0
1974778456,0
2011640568,0
1986347993,0
1939960399,0
188880961,0
1826116763,0
176516628,0
1712957066,0
1761182348,0
1749326861,0
1816155953,0
1896437007,14
195747173,31
195406827,30
1955234344,28
1982665615,2.5
197950464,5
1946917631,3.5
1932282476,0
2003898142,0
2132414798,0
2061115831,0
1971298147,0
1881848358,0
1818376483,0
1824892867,0
1788383296,0
1744075988,0
1684563751,0
1654210018,0
1598937524,0
1554394568,0
1568083611,0
1533906461,0
1554296592,0
1615348034,0
1693883039,0
1722580662,15.5
1757428329,36.5
1789913822,30
1736202215,3
1699075277,0
1708582286,0
1796018099,0
1999923951,0
1975417652,0
1925935554,0
1834137046,0
1757335991,0
1731504723,0
1672667821,0
1636534239,0
1614625303,0
1617280932,0
1594694781,0
1620555,0
1828980591,0
2060269036,0
2252149193,0
2305126802,0
232465715,10
2324341928,34
2320425798,32
222034414,32
2242709373,1.5
2213386779,0
2227012178,0
2253497621,0
2324910915,0
227882293,0
2162519645,0
2027660217,0
1917408497,0
1884431159,0
1835312087,0
180311945,0
1761719691,0
1746046604,0
1710687231,0
1705233658,0
1855500949,0
2089870124,0
2285466262,0
2330131591,0
232848725,0
2343070972,0
2349302879,0
2270310932,0
2291733163,0
2254819443,0
2231934286,0
2250640944,0
2319620881,0
2256280253,0
2143862815,0
2028073996,0
1905912777,0
1850127428,0
1779074543,0
1758121267,0
1719552625,0
1699514798,0
1670525637,0
1658794705,0
1827665992,0
2064417,0
2256078617,0
2309534506,0
2305425923,2.5
2294853285,30
2299359957,30
2194705609,6
2210559309,0
2182816225,0
2181511096,0
2219697677,0
2301185262,0
2242594529,0
212197544,0
1999195046,0
1881219672,0
1812138752,0
172974227,0
1717166527,0
1684110162,0
1663917189,0
1620336216,0
1631272312,0
1794190129,0
2020245013,0
2226844953,0
2273253907,0
2295681122,0
2293860508,0
2311953027,0
2184953468,0
2214219498,0
2186423558,0
2173734841,0
2202031771,0
227427027,0
2218422879,0
2120244627,0
1987079585,0
1847149367,0
1797114493,0
1698590284,0
1694470867,0
165947997,0
1641401908,0
163477808,0
1648559885,0
1827270491,0
2048816415,0
2237634255,0
2297196965,0
2323968803,5
2323389137,0
2310904792,0
2255656909,0
2250224851,0
2207917767,0
2178092456,0
2203514867,0
2280028975,0
223089726,0
2140203496,0
2012539538,0
1895265561,0
1882010807,0
1837729193,0
1815960012,0
1765252671,0
1704289569,0
165060236,0
1609041949,0
1640150464,0
1676776954,0
1753135744,0
1826796102,0
1901461288,0
192718851,0
194824942,0
1939796433,0
1927324521,0
1890690837,7
1891602027,0
1954105182,0
2081810869,0
2047260414,0
1967240993,0
1848616219,0
1789149214,0
1784090225,0
1746984162,0
1732402775,0
1667727345,0
163969251,0
1593996577,0
1549896559,0
1571102867,0
1558238115,0
1586115116,0
1657155813,0
1741071609,20.5
1779213987,30
1799573628,30
1816391188,19.5
1778035814,0
1746511943,0
1755731482,0
1840650835,0
2031245805,0
2025980248,0
1971086941,0
1888351194,0
1822911202,0
1788328518,0
1736346618,0
1716712003,0
169016216,0
1694986364,0
1685488841,0
1698143034,0
1899802091,0
2131097634,0
2341004865,0
2389136672,13.5
2396571062,21.5
240181187,40
2400436231,56.5
2300990377,60
2323746992,19.5
2290333618,5
2272974226,0
2302696113,0
2381029976,0
2354879444,0
2248141831,0
211025063,0
2012045097,0
1985830164,0
1919510231,0
1911109279,0
187861643,0
1842317097,0
1785333,0
178435582,0
1965266064,0
2191095641,0
2395969617,0
2433585957,0
2448830665,4.5
2459679314,30
243277848,32
2357189485,39
2398182784,7.5
2346048308,0
2346104168,0
2348845508,0
242776577,0
2404534596,0
2308071121,0
2178987009,0
2059192417,0
2020122114,0
1965738699,0
1928828656,0
1916963981,0
1865099958,0
1828317125,0
180925905,0
1968328482,0
2207074818,0
2413412818,0
2467147098,0
2475643127,5
2485175656,30
2463520914,32
2391505928,30
2397562974,6
2357180679,0
2354745043,0
2365752956,0
2453120228,0
2410491568,0
2295451929,0
2163115966,0
206318255,0
2042412842,0
1965692609,0
1939566502,0
1906240773,0
185747034,0
1824820449,0
1804311919,0
1977307631,0
221476756,0
2413043194,0
2458842329,14
2472135017,35
2466703807,60
2456447936,60
2361665927,60
2386382907,36.5
2338112475,30
2330171332,20.5
2342172194,3
2431710633,0
2391341446,0
2306246525,0
2168080723,0
2067282924,0
2040273425,0
1953704126,0
1937285397,0
1887588684,0
1853774915,0
1811318789,0
180330303,0
1964134144,0
2173074572,0
2389193406,0
2457197943,15.5
2484554595,35
2467852869,57
242789193,60
235886103,60
2352891923,37
2305844412,30
2270572113,23.5
2262610645,5
237895812,0
2350464241,0
224687705,0
2114622747,0
2007067411,0
200901604,0
197769119,0
1941736723,0
1889295453,0
1831625158,0
1774076449,0
1729495313,0
1772571902,0
1791117992,0
1872156185,0
196566682,11.5
2034558511,28.5
2024138914,57
2011940859,60
2014540315,60
1984179995,37.5
1965050503,30
1950539017,28
199148336,4.5
2150912223,0
2136922491,0
2049935,0
1928224021,0
1878269491,0
1877273334,0
1853302064,0
1829271814,0
1761951094,0
1741858392,0
1690754653,0
1655286711,0
1664587205,0
1655778555,0
1679053819,0
1760791138,19
1833448255,35
1859185313,60
1867461917,60
1860403972,60
1822517967,27.5
1805414,20
1812697607,0
1905948968,0
207952077,0
207423166,0
201790805,0
1924121183,0
1853395073,0
1845051016,0
1799276247,0
1774811998,0
1755849885,0
1751543741,0
172735243,0
1733786627,0
1917954764,0
2160950132,0
2375676025,0
2434116274,0
2449940851,21.5
2453506183,60
2420614364,54
2323815905,60
2354952493,36.5
2305347147,13
2287318614,15.5
2282370713,7
2391999617,0
2365167808,0
2261874092,0
2133791418,0
2028568326,0
1986771728,0
1917172875,0
1932687014,0
1890994013,0
1866175152,0
1822278306,0
1794433652,0
1976694552,0
2203671846,0
2404718173,0
2472635943,16.5
2487607238,33
2472593025,60
2445551457,60
2366314156,60
2396089987,38.5
2356733773,25.5
2356442582,16
2350254278,3.5
2422680512,0
238770411,0
2281279982,0
2158613454,0
2052894657,0
2033782887,0
1968384676,0
1950416399,0
1914334308,0
1875618082,0
1829126709,0
1817006193,0
1990513198,0
2212927025,0
2421504962,0
2476793901,1.5
2485005215,35.5
2490615047,60
2467213292,60
2402598481,60
2414768976,39
2371035834,30
2348392828,23.5
2358807926,2
244383938,0
2411756398,0
2305590559,0
